Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
LaMarcus Aldridge,32.0,75.0,2509.0,0.57,0.068,0.296,10.8,17.3,11.3,0.9,3.0,6.8,29.1,10.9,0.209,3.3,64.0,0.011,2.8,4.3,-2.0,6.1,-0.006,-1.2,-0.7,0.0612,0.0323,-3.0E-4,0.3022,15.796
Patty Mills,29.0,82.0,2107.0,0.558,0.607,0.173,1.4,6.8,16.0,1.3,0.4,12.6,17.8,4.1,0.093,-0.4,53.0,0.009,1.8,-1.9,-1.4,4.1,0.021,-0.1,5.2,-0.0466,0.0129,0.012,0.0713,3.13
Kyle Anderson,24.0,74.0,1978.0,0.582,0.13,0.333,4.7,17.6,14.7,2.9,2.5,15.8,13.5,6.2,0.151,4.1,50.0,0.005,-1.0,1.1,-0.6,0.4,-0.006,0.1,-2.1,0.0296,0.0148,-0.0072,0.1882,7.755
Pau Gasol,37.0,77.0,1812.0,0.539,0.191,0.333,7.8,30.2,20.1,0.7,3.6,13.1,20.4,6.0,0.159,3.2,46.0,-0.025,-3.4,-0.3,-0.6,-5.3,-0.014,-2.3,-2.3,-0.0261,0.0057,-0.0379,0.1007,3.801
Danny Green,30.0,70.0,1791.0,0.509,0.57,0.116,2.5,13.0,8.9,1.8,3.7,11.2,16.6,2.9,0.078,1.2,45.0,-0.012,1.5,1.0,-0.8,-1.1,-0.004,-0.9,-0.3,-0.0133,0.0109,0.0077,0.0833,3.108
Dejounte Murray,21.0,81.0,1743.0,0.485,0.056,0.243,7.0,22.4,20.2,2.8,1.5,16.6,20.7,3.2,0.087,1.2,44.0,-0.015,2.2,3.2,0.5,-2.1,-0.029,1.1,-7.6,0.0915,-2.0E-4,-0.0083,0.17,6.173
Bryn Forbes,24.0,80.0,1517.0,0.525,0.459,0.145,0.9,7.2,7.8,0.9,0.1,6.5,16.7,2.1,0.067,-3.1,38.0,0.011,-0.6,0.1,-0.1,2.3,0.012,0.1,1.4,-0.0048,-0.0092,0.0122,0.0652,2.061
Manu Ginobili,40.0,65.0,1299.0,0.553,0.415,0.283,1.6,10.6,19.1,1.7,1.0,16.8,21.5,2.2,0.082,-1.0,33.0,0.001,1.3,-2.1,0.2,2.7,0.007,-1.1,5.9,-0.0591,-0.0077,0.0088,0.024,0.65
Rudy Gay,31.0,57.0,1231.0,0.545,0.22,0.27,6.8,19.5,9.8,1.9,2.6,11.5,24.6,3.1,0.123,0.3,31.0,-0.009,3.5,0.0,0.5,0.6,0.005,-0.5,1.4,-0.0184,-0.0036,0.0012,0.1022,2.621
Davis Bertans,25.0,77.0,1086.0,0.588,0.689,0.134,1.8,13.9,10.3,1.2,2.1,8.5,17.4,3.1,0.135,1.0,28.0,0.019,-3.6,-1.2,0.3,-0.3,0.0,1.4,-1.3,0.0071,-0.0299,-0.0015,0.1107,2.505
Tony Parker,35.0,55.0,1071.0,0.498,0.095,0.201,0.7,9.2,28.2,1.3,0.1,13.9,20.5,1.4,0.065,-4.1,27.0,-0.003,-2.6,-1.7,-0.8,-1.9,0.016,-0.5,3.9,-0.0609,-0.0112,0.0093,0.0022,0.049
Brandon Paul,26.0,64.0,576.0,0.504,0.425,0.339,1.1,12.0,9.0,2.2,1.0,16.6,13.6,0.5,0.044,-2.8,15.0,-0.006,-2.4,-1.4,3.8,-6.9,0.001,3.6,-3.7,-0.0134,-0.0627,0.0122,-0.0199,-0.239
Joffrey Lauvergne,26.0,55.0,534.0,0.536,0.026,0.247,13.0,22.6,12.2,0.9,0.5,13.5,20.4,1.3,0.12,-1.6,14.0,0.007,0.9,-4.1,3.8,-4.1,0.023,1.7,5.3,-0.0582,-0.0587,8.0E-4,0.0039,0.043
Kawhi Leonard,26.0,9.0,210.0,0.572,0.315,0.342,3.1,19.1,17.7,4.3,3.6,11.1,30.6,0.9,0.196,5.9,5.0,0.007,-7.0,1.0,1.5,-6.1,-0.026,1.2,-7.0,-0.0038,-0.0191,0.0217,0.1948,0.852
Derrick White,23.0,17.0,139.0,0.646,0.394,0.606,4.0,16.9,9.3,1.5,1.8,12.6,15.4,0.5,0.17,0.5,4.0,-0.005,0.3,-3.6,2.0,-1.8,-0.059,5.7,-13.8,0.0074,-0.0816,0.0219,0.1177,0.341
Darrun Hilliard,24.0,14.0,95.0,0.362,0.316,0.368,0.0,8.2,15.3,1.1,0.0,15.3,12.3,0.0,-0.015,-7.5,2.0,0.066,-3.5,-0.8,-0.1,9.6,0.043,-1.9,7.9,-0.0076,-0.0988,0.0239,-0.0975,-0.193
Matt Costello,24.0,4.0,32.0,0.5,0.0,0.0,3.4,27.9,8.3,3.2,5.2,20.0,7.0,0.1,0.127,1.6,1.0,0.161,-2.0,-1.7,2.1,20.6,0.035,5.5,-2.2,-0.0046,-0.0925,0.0241,0.054,0.036