Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
LeBron James,33,82,3026,0.621,0.257,0.336,3.7,22.3,44.4,1.9,2,16.1,31.6,14,0.221,9.6,77,0.052,-0.1,0.6,-0.9,8.3,0.032,-0.8,5.9,-0.0045,0.0386,-0.0072,0.2479,15.628
Khris Middleton,26,82,2982,0.577,0.32,0.285,1.8,15,17.7,2,0.6,11.8,24.6,6.9,0.111,0.4,75,0.04,-2.1,-0.8,-1.5,6.9,0.021,1.5,1.7,0.0059,0.031,-0.0025,0.1454,9.033
Andrew Wiggins,22,82,2979,0.505,0.26,0.242,3.1,10.8,8.2,1.5,1.5,8.8,23.4,2.1,0.034,-2.5,76,-0.009,3.7,0.7,-1.2,0.8,-0.022,-0.5,-3.1,0.0073,0.0229,0.014,0.0782,4.853
Bradley Beal,24,82,2977,0.564,0.357,0.249,2.3,11.5,21,1.6,1.1,11.5,27.6,6.9,0.112,1.7,75,0.028,-3.6,-3.4,-0.6,2.4,-0.035,0.6,-4.6,0.0464,0.0309,0.0013,0.1906,11.821
Jrue Holiday,27,81,2927,0.57,0.286,0.191,2.4,10.8,24.9,2,1.7,13.6,23.1,7.1,0.116,2.1,73,0.017,2.1,2.6,0,3.8,-0.038,1.3,-8.7,0.09,0.0264,0.0124,0.2448,14.928
CJ McCollum,26,81,2923,0.536,0.316,0.166,2,9.9,15.8,1.3,1,8.6,26.5,6.6,0.108,0.4,74,-0.004,-0.7,1.1,-2.6,0.7,0.02,0.4,2.9,-0.0371,0.0303,0.0127,0.1139,6.936
Karl-Anthony Towns,22,82,2918,0.646,0.243,0.343,9.3,30.9,10.8,1.1,3.5,10.5,22.9,14,0.23,5.5,73,0.048,4.1,1.1,0.2,12,-0.02,-0.8,-1.5,0.061,0.0212,-0.0167,0.2955,17.964
Russell Westbrook,29,80,2914,0.524,0.193,0.336,5.6,25.7,49.8,2.5,0.6,16.4,34.1,10.1,0.166,8.2,74,0.028,7.7,4.7,-0.3,10.6,0.019,1.2,-1.4,0.077,0.0296,0.0044,0.277,16.816
Paul George,27,79,2891,0.57,0.454,0.307,2.7,14.9,14.5,2.8,1.2,12.2,25.7,8.9,0.148,2.6,73,0.017,0.9,1.1,1,1.9,0.022,1.1,1.8,-0.0161,0.0298,0.0039,0.1656,9.974
Giannis Antetokounmpo,23,75,2756,0.598,0.1,0.457,6.7,25.3,23.7,2,3.3,11.7,31.2,11.9,0.207,5.8,70,0.01,0.5,3,-0.5,2.9,-0.024,-0.3,-6.4,0.0681,0.0309,-0.0122,0.2938,16.869
Kemba Walker,27,80,2736,0.572,0.441,0.308,1.2,8.7,27.4,1.6,0.7,10.4,27.4,8.5,0.15,3.2,69,0.055,1.4,-0.5,0.7,8.8,-0.012,-0.4,-2.1,0.0844,0.0291,0.0139,0.2774,15.812
Ben Simmons,21,81,2732,0.557,0.011,0.342,5.9,19.5,37.4,2.5,2.1,19.5,22.3,9.2,0.162,4.6,69,0.04,2.1,-0.6,0.2,5.4,-0.006,1.4,-1.6,0.0249,0.025,-0.008,0.2039,11.605
Anthony Davis,24,75,2727,0.612,0.111,0.409,7.7,24.8,10.8,2,5.6,8.6,30,13.7,0.241,5.2,68,0.006,0.4,-2.1,-1.6,3.2,-0.037,0.9,-7.5,0.0797,0.0261,-0.0231,0.3237,18.39
Taj Gibson,32,82,2726,0.61,0.047,0.251,8.1,16.7,5.2,1.1,1.9,9.8,14.7,7.2,0.126,1.1,69,0.007,2.1,0,-1.2,3.5,-0.027,0.3,-4.3,0.0408,0.0157,-0.0055,0.177,10.052
DeMar DeRozan,28,80,2711,0.555,0.203,0.396,2.5,10.4,25,1.5,0.6,9.5,29.6,9.6,0.17,1.8,69,-0.015,2.3,2.9,-2.5,3.4,0.021,-3.7,6.1,-0.0445,0.0308,0.0178,0.1741,9.833
Josh Richardson,24,81,2689,0.551,0.38,0.16,2.9,9,13.2,2.3,2.4,12.9,18.2,5.4,0.096,1.4,67,0.001,0.6,1.2,0.6,-0.1,-0.005,0.3,-0.4,-0.0058,0.0218,0.0122,0.1242,6.958
Will Barton,27,81,2683,0.562,0.411,0.22,3,14.2,18.5,1.5,1.6,11.7,20.7,6.2,0.111,1,67,-0.007,-0.4,-1.5,0.2,-0.9,-0.016,-0.8,-1.2,-0.0166,0.0206,-0.0028,0.1122,6.272
Damian Lillard,27,73,2670,0.594,0.445,0.38,2.6,10.6,30.9,1.4,0.8,11.1,30.6,12.6,0.227,6.7,68,0.015,-0.9,1.7,-2.2,6.6,-0.007,0.7,-2.9,0.082,0.0303,0.0107,0.35,19.469
Donovan Mitchell,21,79,2638,0.541,0.404,0.218,2.3,10.4,19.4,2.2,0.9,12.6,29.1,5.2,0.095,1.1,67,0.015,1.7,0.6,0,4.1,-0.004,0.7,-2.9,0.0627,0.0249,0.0098,0.1924,10.574
Harrison Barnes,25,77,2634,0.539,0.276,0.259,3.1,17.1,9.9,0.9,0.5,8.1,25.2,3.8,0.07,-2.1,67,-0.017,-2.7,0.7,0.2,-5.1,0.013,-1.5,4.2,-0.0672,0.0286,-0.0046,0.0268,1.471
Andre Drummond,24,78,2625,0.555,0.012,0.448,16.4,36.4,14.3,2.2,4.3,15.9,21.2,10.3,0.189,5.5,66,0.009,5.8,-0.2,1.6,2.8,0.029,-0.9,5.5,-0.0568,0.027,-0.0376,0.1216,6.65
Thaddeus Young,29,81,2607,0.528,0.209,0.106,8,14.1,8.5,2.6,1.2,10.4,17.3,5.5,0.101,1.5,66,0.037,-1.7,-1.6,0.8,3.6,0.008,3.6,-4.5,0.0551,0.0184,-0.0095,0.165,8.962
Lou Williams,31,79,2589,0.574,0.387,0.367,1.7,6.6,26.3,1.6,0.6,13.1,29.8,6.7,0.125,1,66,0.027,1.5,-3.9,-0.3,8.3,0.011,-0.9,6,0.0082,0.0255,0.0058,0.1645,8.873
E'Twaun Moore,28,82,2586,0.593,0.362,0.082,2.5,7.3,10.1,1.5,0.4,10.6,16.1,4.4,0.081,-0.2,65,0.013,-1.7,0.3,-1.3,2.2,0.006,0.7,-1.2,0.0061,0.0155,0.0045,0.1071,5.77
Joe Ingles,30,82,2578,0.623,0.646,0.116,1.1,13.9,22.9,1.8,0.7,17.4,15.9,7.6,0.141,3.1,65,0.025,-0.2,-0.4,0.6,2.7,0.011,0,2.2,-0.014,0.0205,7.00E-04,0.1482,7.96
Jamal Murray,20,81,2565,0.576,0.411,0.238,3.6,9.4,16.4,1.5,0.9,12.8,22.8,5.5,0.103,-0.2,64,0.05,-1.1,2.7,-1.8,9.4,0.025,0,2.4,0.0335,0.017,0.0083,0.1618,8.646
Victor Oladipo,25,75,2552,0.577,0.323,0.274,2.1,15.1,21.2,3.5,2,12.7,30.1,8.3,0.155,4.9,65,0.035,-2,-3,0.6,4.8,-0.032,3.3,-9.2,0.1112,0.022,-0.0052,0.283,15.046
James Harden,28,72,2551,0.619,0.498,0.502,1.8,15.2,45.1,2.4,1.7,15.1,36.1,15.4,0.289,10.9,65,0.023,1.3,-1.9,0.4,7.3,0.016,0.9,2,0.01,0.0231,0.001,0.3231,17.171
Robert Covington,27,80,2532,0.563,0.658,0.163,2.4,15.5,8.7,2.6,2.4,12.3,17.2,6.1,0.116,2.5,64,0.039,2.7,4.6,-0.2,6.6,-0.018,2.4,-8.2,0.106,0.0198,0.0108,0.2526,13.325
Kyle Lowry,31,78,2510,0.598,0.631,0.276,3,16.1,30.9,1.7,0.6,14.7,21.7,10.2,0.194,5.9,63,0.007,0,3.5,0.5,1.3,0.011,-1.7,2.2,-0.0131,0.0264,0.0056,0.2129,11.133
LaMarcus Aldridge,32,75,2509,0.57,0.068,0.296,10.8,17.3,11.3,0.9,3,6.8,29.1,10.9,0.209,3.3,64,0.011,2.8,4.3,-2,6.1,-0.006,-1.2,-0.7,0.0612,0.0323,-3.00E-04,0.3022,15.796
Klay Thompson,27,73,2506,0.598,0.442,0.083,1.5,10.3,11.2,1.1,1.1,9.5,23.7,4.9,0.094,-0.6,63,0.039,-0.5,0.3,0.8,2.9,-0.009,-0.3,-0.9,0.0311,0.0329,0.0061,0.1641,8.567
Carmelo Anthony,33,78,2501,0.503,0.406,0.165,2.9,17.7,6.5,0.9,1.8,7.3,23.2,3.7,0.071,-3.8,63,0.011,7.6,3.2,-0.1,6.8,0.027,-0.7,1.8,0.0233,0.019,0.0128,0.1261,6.57
Steven Adams,24,76,2487,0.63,0.003,0.402,16.6,13.9,5.5,1.8,2.8,13.2,16.7,9.7,0.187,3.3,63,0.015,11.1,3.2,1.3,7.1,0.009,-0.5,0.2,0.0448,0.0203,0.0058,0.2579,13.362
Taurean Waller-Prince,23,82,2464,0.549,0.469,0.185,2.3,15.3,13.9,1.7,1.5,15.3,22.1,2,0.038,-0.7,63,0.022,-1.4,-1.3,0.8,1.2,0.021,0.2,4.3,-0.0566,0.0243,-0.007,-0.0013,-0.067
Bojan Bogdanovic,28,80,2464,0.605,0.453,0.241,1.4,10.9,7.1,1.1,0.3,10.1,19,5.4,0.105,-0.7,62,0.011,-4.3,-0.8,0.9,-1.9,-0.02,-0.1,-3.2,0.0024,0.0148,-6.00E-04,0.1216,6.242
Dwight Howard,32,81,2463,0.577,0.008,0.639,11,33.8,7.1,1,4.4,15.1,24.2,6.8,0.132,-0.3,62,0.038,2.8,-1.6,3.2,2.9,-0.015,-1.6,-0.7,0.0226,0.0199,-0.0361,0.1384,7.102
Kentavious Caldwell-Pope,24,74,2458,0.561,0.52,0.243,2.6,14.1,9.4,2.1,0.5,9.9,16.9,5.3,0.103,1,62,0.01,-1.7,2,-1.3,2.7,0.004,-1.5,1.5,0.0212,0.0244,0.0017,0.1503,7.697
Nikola Jokic,22,75,2443,0.603,0.277,0.31,9,27.9,29.6,1.8,2.1,15.5,24.2,10.7,0.211,7.1,61,0.029,2.4,4.3,-1.1,8,-0.003,-1,-1.8,0.0826,0.0185,-0.0151,0.297,15.116
Jayson Tatum,19,80,2438,0.586,0.29,0.309,2.3,15.6,8.3,1.7,2,10.7,19.5,7.1,0.139,1,62,0.029,-3.8,-2,-1.3,5.1,-0.021,0.5,-3.1,0.0592,0.0192,-0.0097,0.2077,10.549
Otto Porter,24,77,2432,0.602,0.354,0.145,4.8,18.1,10.1,2.4,1.5,7.4,18.4,8.1,0.161,3.6,61,0.044,-1.3,0,-0.7,6.6,-0.016,0.8,-4.6,0.0952,0.019,-0.0068,0.2684,13.599
DeAndre Jordan,29,77,2424,0.648,0,0.54,15.1,37.6,7.1,0.8,2.4,16.1,15.2,9.4,0.186,2.1,62,-0.026,1.3,4.3,0.6,-3.2,0.02,-2.8,3.8,-0.0803,0.022,-0.0413,0.0864,4.363
Marc Gasol,33,73,2408,0.532,0.31,0.326,3.7,25.3,21.7,1.1,3.9,14.1,25.6,4,0.08,1.5,61,-0.002,-3.2,3.5,-0.2,-0.9,0.006,-0.9,-0.8,-0.0081,0.028,-0.0176,0.0823,4.129
Kyle Kuzma,22,77,2401,0.549,0.418,0.2,3.9,17.4,9.1,1,1.1,11,22.5,3.8,0.077,-1.3,60,0.002,0.2,-2.3,0,0.6,-0.002,-0.2,2.3,-0.028,0.0198,-0.0101,0.0587,2.936
Goran Dragic,31,75,2378,0.543,0.279,0.252,2.5,12,25.4,1.3,0.4,12.2,25.7,5.3,0.106,-0.1,60,0.001,1.2,-3.3,-0.3,1.2,0,0.5,2.8,-0.0434,0.0173,8.00E-04,0.0807,3.998
Dillon Brooks,22,82,2350,0.531,0.342,0.215,2.4,10.5,9.3,1.6,0.7,12.8,18.5,1.2,0.024,-3.1,60,0.012,-3.8,1.9,-0.1,-0.8,-0.019,-0.2,-4.2,0.0428,0.0182,-0.0012,0.0838,4.103
Wilson Chandler,30,74,2346,0.542,0.39,0.181,4.9,14.1,9.5,0.9,1.4,11.9,14.3,3.3,0.067,-0.9,59,0.002,-0.8,1.3,-0.5,0.2,0.011,0.3,-0.5,-0.0157,0.0162,-0.0021,0.0654,3.196
Kevin Durant,29,68,2325,0.64,0.338,0.331,1.6,19.5,25.5,1,4,12.9,30.4,10.4,0.215,5.6,59,0.04,0.9,-2.9,0,7.6,0.016,-1.2,6.2,-0.0234,0.0318,-0.0094,0.214,10.366
Jeff Teague,29,70,2311,0.553,0.287,0.301,1.2,9.3,30.6,2.2,0.8,16.4,20.6,4.9,0.101,0.2,58,0.008,-0.3,-0.1,-0.1,1.8,-0.002,-0.1,1.1,-0.0212,0.0134,0.0079,0.1011,4.868
Courtney Lee,32,76,2310,0.564,0.368,0.164,1.4,9.3,11.3,1.7,0.6,9.4,16.9,3.9,0.082,0,58,-0.004,-1.3,-1.2,0.6,-0.6,0.015,-1,3.1,-0.0584,0.0233,0.0028,0.0497,2.392
Dario Saric,23,78,2310,0.582,0.448,0.233,7.5,16.4,13,1.1,0.7,13.1,20.9,6.6,0.137,1.4,58,0.014,2.9,1.8,0.3,3.9,0.006,-0.3,0.3,-8.00E-04,0.0144,-0.0033,0.1473,7.089
Spencer Dinwiddie,24,80,2306,0.527,0.517,0.32,1.8,10.2,35,1.4,0.7,11.8,20.3,5.7,0.118,0.2,58,0.007,0.7,1.9,-2.7,4.8,0.013,-0.2,0.9,0.0357,0.0167,0.01,0.1804,8.667
Gary Harris,23,67,2304,0.597,0.434,0.178,1.8,6.8,13,2.6,0.5,10.8,20.7,5.5,0.114,0.9,58,0.019,-0.3,0.9,-0.1,1.9,0.002,1.9,-3.1,0.0386,0.0216,0.013,0.1872,8.986
Draymond Green,27,70,2287,0.556,0.414,0.279,3.9,21.1,29,2,3.1,22.5,17.2,6.1,0.127,3.2,58,0.027,-3.7,0.1,0.7,1,0.003,1.3,-0.4,0.0072,0.0285,-0.0183,0.1444,6.88
Yogi Ferrell,24,82,2282,0.54,0.492,0.141,1.2,11.2,13.5,1.4,0.4,9.1,17,3,0.064,-1,58,-0.012,-0.2,-2.6,-0.8,-0.2,-0.053,1.3,-9,0.1091,0.0131,0.0013,0.1875,8.914
P.J. Tucker,32,82,2281,0.537,0.703,0.136,4.6,17.8,4.6,1.7,1,13.7,10.5,3.9,0.082,0,58,0.008,1.9,-0.5,0.3,4.6,-0.004,2.1,-1.8,0.0448,0.0054,-0.0063,0.1259,5.983
Al Horford,31,72,2277,0.575,0.3,0.159,5,20.2,23.6,0.9,2.9,14.1,18.4,7.8,0.165,4,58,0.057,-4.6,-0.2,-0.5,6.5,-0.019,-1.9,-1.4,0.0483,0.021,-0.0172,0.2171,10.299
Trevor Ariza,32,67,2269,0.567,0.71,0.137,1.7,12.9,6.8,2.1,0.5,7,14.4,5.3,0.113,1.5,57,0.005,1.4,-1.6,1.1,0.1,0.015,1.4,1.2,-0.0423,0.0186,0.0041,0.0934,4.415
Justin Holiday,28,72,2265,0.513,0.574,0.21,1.4,12.8,10.1,1.7,1.2,9.8,18.2,1.7,0.036,-1.3,57,0.022,-2.7,3.7,-1.4,2.5,-0.016,-0.6,-4.2,0.0767,0.0222,0.0046,0.1395,6.583
Ricky Rubio,27,77,2254,0.537,0.33,0.307,2.2,15.3,28.4,2.7,0.4,18.1,22.9,5.3,0.112,1.7,57,-0.003,-0.1,-1.2,0.4,-0.6,0.016,2.3,-0.5,-0.0073,0.0143,-0.0052,0.1138,5.344
J.R. Smith,32,80,2244,0.534,0.64,0.094,1.5,10.1,8.6,1.5,0.4,11.6,13.8,1.4,0.031,-1.7,57,-0.009,1.6,-1.3,0.2,-0.7,0.034,-1.1,6.8,-0.0928,0.0165,0.0036,-0.0417,-1.949
Eric Bledsoe,28,71,2239,0.585,0.366,0.319,2.5,11.9,26,3.2,1.5,16,26,5.7,0.121,2.4,56,0.032,1.7,-3.1,-0.3,7.2,-0.014,1.4,-2,0.0618,0.018,-0.0016,0.1992,9.292
Kelly Oubre,22,81,2231,0.534,0.467,0.295,3,15.4,6.4,1.8,1.4,9.2,19.4,3.7,0.08,-1.2,56,-0.024,1.1,-1.1,0.7,-2.5,0.01,0.2,3.7,-0.0862,0.0089,3.00E-04,0.003,0.139
Cory Joseph,26,82,2210,0.503,0.315,0.156,2,11.4,16.1,1.8,0.7,11.9,14.8,3.1,0.068,-1.2,56,-0.031,3.6,3.2,0.3,-3.2,-0.009,-1.8,0.3,-0.0485,0.0048,0.0197,0.044,2.026
Allen Crabbe,25,75,2197,0.558,0.643,0.163,1.3,14.4,8.4,1,1.2,8.1,19,3.2,0.07,-0.8,55,0.005,0.2,-2.5,-1.2,2.8,-0.005,0.6,0.5,0.0168,0.0173,-0.0044,0.0997,4.563
Julius Randle,23,82,2190,0.606,0.05,0.47,8.9,22.8,15.8,0.9,1.7,16.3,25.3,6.6,0.145,0.9,55,0.026,-2,0.6,0.2,4.4,0.003,-3,4,-0.0108,0.0085,-0.0264,0.1163,5.306
DeMarre Carroll,31,73,2180,0.55,0.498,0.313,5.1,18.4,10.5,1.3,1,10.3,19.8,4.1,0.091,0.2,55,-0.01,1.8,-3.4,-1.3,2.5,-0.014,1.4,-1.8,0.0568,0.0185,-0.0137,0.1526,6.931
Bogdan Bogdanovic,25,78,2175,0.556,0.426,0.154,1.6,10.5,18.3,1.7,0.7,13.2,19.6,2.9,0.064,-1,55,0.008,-2.1,0.5,-0.4,0.7,0.022,-0.3,3.7,-0.0393,0.015,0.0036,0.0433,1.962
Jimmy Butler,28,59,2164,0.59,0.217,0.461,4.2,12.7,20.6,2.7,1,8.9,24.9,8.9,0.198,5,55,0.019,2.7,0.2,0,6,-0.028,1.9,-7.2,0.0822,0.0201,0.0064,0.3067,13.827
Eric Gordon,29,69,2154,0.578,0.627,0.248,1.3,7.5,11.7,1,1.1,10.8,24.7,4.7,0.105,-1,54,0.022,2.7,0.7,-1.2,7.5,-0.023,-1.6,-2.3,0.0738,0.0125,0.0181,0.2094,9.397
Derrick Favors,26,77,2153,0.593,0.09,0.306,10.6,18.5,7.8,1.3,3.2,9.9,18.5,8,0.179,2.7,55,0.02,3.3,0.4,1.8,0.5,0.021,-1.1,2.4,-0.0377,0.0108,-0.0126,0.1395,6.257
Jaylen Brown,21,70,2152,0.562,0.381,0.29,3.4,14,8.5,1.6,1,12,21.4,4.5,0.1,-0.2,54,0.028,-0.3,-0.3,-1.3,5.5,-0.017,0.4,-2.9,0.0589,0.0184,0.0011,0.1784,7.998
T.J. Warren,24,65,2142,0.541,0.085,0.24,6.1,10.5,7.2,1.5,1.5,6.7,24.9,3.4,0.077,-1.9,54,0.008,3.7,-2,0.3,3,-0.002,-0.8,3.7,-0.0125,0.0265,0.0029,0.0939,4.19
Wesley Matthews,31,63,2131,0.541,0.577,0.145,1.4,9.2,12.3,1.8,0.7,10.1,17.6,2.6,0.059,0.1,54,-0.004,-3.1,-1.8,0.2,-1.8,0.044,0.3,8.3,-0.0877,0.0255,0.0025,-7.00E-04,-0.031
J.J. Redick,33,70,2116,0.614,0.523,0.248,0.5,8.3,15.1,0.8,0.2,9.6,21.7,6.6,0.15,0,54,0.027,-0.4,0.6,-0.4,6,-0.004,-1.4,0.1,0.0152,0.0148,0.0102,0.1902,8.385
Patty Mills,29,82,2107,0.558,0.607,0.173,1.4,6.8,16,1.3,0.4,12.6,17.8,4.1,0.093,-0.4,53,0.009,1.8,-1.9,-1.4,4.1,0.021,-0.1,5.2,-0.0466,0.0129,0.012,0.0713,3.13
Denzel Valentine,24,77,2095,0.527,0.513,0.071,2.4,18.3,17.8,1.5,0.5,11.8,17.5,2.5,0.057,-0.5,53,-0.003,1.4,0.5,1,-1.5,-0.01,0.1,-2,0.0064,0.0117,-0.0041,0.071,3.099
Serge Ibaka,28,76,2093,0.574,0.379,0.151,4.3,21,4.4,0.7,3.8,9.7,19.4,5.1,0.117,-0.2,53,-0.001,-0.2,3.4,-0.4,1,0.002,-3.8,3,-0.029,0.0141,-0.0051,0.097,4.23
Jusuf Nurkic,23,79,2088,0.528,0.007,0.287,10,26.9,11.7,1.5,4.3,14.6,26.4,4.7,0.108,0.3,53,-0.006,-1.6,0.1,-0.4,-2,-0.005,1,-4.1,0.0322,0.0056,-0.0316,0.1142,4.968
Dennis Schroder,24,67,2078,0.515,0.229,0.231,2.4,8.8,36.2,1.7,0.2,12.7,30.4,2.6,0.059,-0.7,53,0.012,0.1,-3.3,-0.4,3.2,0.029,2.3,4.6,-0.037,0.0246,0.0019,0.0485,2.1
Marcin Gortat,33,82,2075,0.546,0,0.291,9.9,24,10.6,1,2.6,13.5,15.5,4.9,0.113,0.3,52,0.011,-1.8,-0.1,-0.8,-0.9,-0.01,0,-3.4,0.0216,0.0027,-0.0274,0.1099,4.751
Al-Farouq Aminu,27,69,2072,0.522,0.582,0.137,5.2,22.3,5.8,1.9,1.6,11.3,14.8,4.2,0.097,1.1,52,0.005,-1.2,-0.6,-2.5,3.5,0.002,1.5,-1.1,0.0388,0.0139,-0.0155,0.1342,5.793
Dragan Bender,20,82,2069,0.524,0.665,0.105,2,16.8,8.9,0.5,2.1,18.1,12.7,0.1,0.001,-2.7,53,0,-5.3,0.8,-0.1,-3,-0.002,-0.8,0,-0.0216,0.0084,-0.0153,-0.0275,-1.185
Terry Rozier,23,80,2068,0.52,0.503,0.186,3.4,16.3,17.5,1.9,0.8,8.5,20.4,5.6,0.13,1.8,52,-0.028,0,-0.3,-0.9,-3,-0.01,-0.9,-0.5,-0.0411,0.0066,-0.0036,0.0919,3.959
Austin Rivers,25,61,2057,0.526,0.447,0.198,1.5,6.2,17.5,1.7,0.6,11.1,20.6,2.4,0.056,-0.9,52,0.003,1.3,1.1,-0.4,2.4,0.04,-0.8,6.3,-0.0561,0.025,0.0152,0.0401,1.718
Tony Snell,26,75,2053,0.578,0.631,0.113,0.5,7.5,6.5,1.1,1.2,7.5,10.6,2.4,0.056,-1.8,52,0.029,-3,0.8,0.5,1.6,0.023,-0.6,3.9,-0.0612,0.0076,0.0052,0.0076,0.325
Tyler Johnson,25,72,2052,0.549,0.456,0.181,1.9,11.7,12.4,1.5,1.4,9.5,18.6,4.2,0.097,-0.2,52,0.007,-0.5,0.8,-0.4,1.4,0.009,1,-0.7,0.016,0.0085,0.0062,0.1277,5.459
Dennis Smith,20,69,2049,0.473,0.331,0.188,2.6,11.8,29.5,1.7,0.8,15,28.9,-0.7,-0.017,-2.3,52,-0.017,-1.3,0.4,0.6,-4.1,0.033,-1.4,5.3,-0.077,0.0162,0.0034,-0.0744,-3.176
Willie Cauley-Stein,24,73,2044,0.529,0.016,0.32,7,22,13.7,1.9,3.1,11,21.8,3.9,0.092,0.4,52,0.01,-2.3,0.9,1.5,-0.8,0.009,1.8,0.1,-0.0025,0.0147,-0.0195,0.0847,3.607
Ish Smith,29,82,2043,0.525,0.126,0.145,1.4,10.9,28.4,1.6,0.9,11.2,20.8,4.4,0.102,-1.2,52,0.017,-1.6,2.2,-1.4,2.5,-0.014,-1.9,0.5,0.0229,0.0044,0.005,0.1343,5.716
Wayne Ellington,30,77,2041,0.588,0.827,0.111,1.3,10.7,5.9,1.3,0.3,6.6,17.3,4.5,0.105,0,51,0.019,-1.3,0.8,-1,4.2,-0.006,-1.7,-0.4,0.0437,0.0038,0.0063,0.1588,6.752
Clint Capela,23,74,2034,0.65,0.001,0.38,13.5,30.8,5.7,1.4,5.7,11.5,19.4,10.2,0.242,3,51,0.005,3.8,-0.2,-0.1,2.6,0.016,-0.5,0.4,-0.0079,0.0034,-0.0327,0.2048,8.678
Evan Turner,29,79,2034,0.52,0.229,0.185,1.6,11.4,12.4,1.1,1.2,13.7,15.6,2.6,0.061,-1.8,51,-0.037,-0.5,-2,0.2,-5.9,-0.002,-0.6,1.8,-0.0941,0.0036,0.0016,-0.0279,-1.182
Jonathon Simmons,28,69,2029,0.555,0.268,0.317,3.3,9.7,13.3,1.4,0.6,14.4,22,1.9,0.045,-2.3,52,0.023,-0.6,-0.8,1.5,1.7,0.026,-1.7,6,-0.0605,0.0189,0.0013,0.0047,0.199
De'Aaron Fox,20,73,2026,0.478,0.192,0.245,1.8,10,24.6,1.7,0.9,16.4,23.4,-0.6,-0.014,-4.4,51,0.001,-3.2,-2.2,-0.6,-1.6,0.012,-0.7,4.1,-0.0648,0.014,-0.0027,-0.0675,-2.849
Buddy Hield,24,80,2024,0.557,0.437,0.087,3,14.8,12.8,2.1,1,11.3,24.3,2.8,0.067,-0.2,51,0.015,1.6,1,-0.2,2.9,-0.025,0.9,-4.6,0.1002,0.008,0.003,0.1782,7.514
Lauri Markkanen,20,68,2020,0.552,0.465,0.193,4,23.7,6.4,0.9,1.8,8.2,21.9,3.3,0.079,-1.9,51,0.003,-1.5,2.3,1.6,-2,0.005,-1.6,1.4,-0.0486,0.0171,-0.0142,0.0333,1.401
Darren Collison,30,69,2018,0.61,0.321,0.226,2.1,7.8,26.4,2.3,0.7,10.9,17.4,7.6,0.181,2.2,51,0.045,-3.6,-2.2,0,5.4,0.028,2,1.7,0.0017,0.0092,0.0018,0.1937,8.143
